princeton,city_name,state_code,distance_learning,tuition,website,gpa,SAT,ACT
College of the Albemarle,Elizabeth City,NC,0,0,http://www.albemarle.edu,3.11,1401,31
College of the Atlantic,Bar Harbor,ME,0,0,http://www.coa.edu,3.58,1161,26
College of the Canyons,Santa Clarita,CA,0,0,http://www.canyons.edu,3.6,1120,25
College of the Desert,Palm Desert,CA,0,0,http://www.collegeofthedesert.edu,3.16,1184,26
College of the Holy Cross,Worcester,MA,0,22778,http://www.holycross.edu,3.1,1121,25
College of the Mainland,Texas City,TX,0,0,http://www.com.edu,3.52,1374,31
College of the Marshall Islands,Majuro,MH,0,0,http://www.cmiedu.net,3.18,1259,28
College of the Ozarks,Point Lookout,MO,0,9476,http://www.cofo.edu,3.04,1378,31
College of the Redwoods,Eureka,CA,0,0,http://www.redwoods.edu,3.37,1315,29
College of the Sequoias,Visalia,CA,0,0,http://cos.edu,3.34,1397,31
College of the Siskiyous,Weed,CA,0,0,http://www.siskiyous.edu,3.49,1395,31
College of Visual Arts,Saint Paul,MN,0,0,http://www.cva.edu,3.56,1245,28
College of William and Mary,Williamsburg,VA,0,0,http://www.wm.edu,3.14,1370,31
Collin County Community College District,Plano,TX,0,0,http://www.ccccd.edu,3.08,1307,29
Collins College,Tempe,AZ,0,0,http://www.collinscollege.edu,3.36,1324,30
Colorado Christian University,Lakewood,CO,1,23220,http://www.ccu.edu,3.61,1416,32
Colorado College,Colorado Springs,CO,0,0,http://www.coloradocollege.edu,3.69,1449,32
Colorado Mountain College,Glenwood Springs,CO,0,0,http://www.coloradomtn.edu,3.11,1346,30
Colorado Northwestern Community College,Rangely,CO,0,0,http://www.cncc.edu,3.62,1373,31
Colorado School of Healing Arts,Lakewood,CO,0,0,http://www.csha.net,3.53,1445,32
Colorado School of Mines,Golden,CO,0,0,http://www.mines.edu,3.67,1249,28
Colorado School of Trades,Lakewood,CO,0,0,http://schooloftrades.com,3.55,1106,25
Colorado School of Traditional Chinese Medicine,Denver,CO,0,0,http://www.cstcm.edu,3.56,1228,27
Colorado State University,Fort Collins,CO,0,0,http://www.colostate.edu,3.53,1231,27
Colorado State University System Office,Fort Collins,CO,0,0,http://www.pres.colostate.edu,3.5,1439,32
Colorado State University-Pueblo,Pueblo,CO,0,0,http://www.colostate-pueblo.edu,3.44,1399,31
Colorado Technical University,Greenwood Village,CO,0,0,http://www.coloradotech.edu,3.66,1322,30
Colorado Technical University,Colorado Springs,CO,0,0,http://www.coloradotech.edu,3.56,1290,29
Colorado Technical University,North Kansas City,MO,0,0,http://www.coloradotech.com,3.35,1279,29
Colorado Technical University of Sioux Falls,Sioux Falls,SD,0,0,http://www.coloradotech.edu,3.7,1241,28
Colorado Technical University Online,Colorado Springs,CO,0,0,http://www.ctuonline.edu,3.5,1408,32
Columbia Basin College,Pasco,WA,0,0,http://www.columbiabasin.edu,3.22,1212,27
Columbia Centro Universitario,Yauco,PR,0,0,http://columbiaco.edu,3.06,1131,25
Columbia Centro Universitario,Caguas,PR,0,0,http://www.columbiaco.edu,3.61,1250,28
Columbia College,Columbia,MO,1,10611,http://www.ccis.edu,3.19,1222,27
Columbia College,Columbia,SC,1,14393,http://www.columbiasc.edu/,3.31,1240,28
Columbia College,Sonora,CA,0,0,http://www.gocolumbia.edu/,3.56,1342,30
Columbia College Chicago,Chicago,IL,0,0,http://www.colum.edu,3.53,1217,27
Columbia College Hollywood,Tarzana,CA,0,0,http://www.columbiacollege.edu,3.32,1387,31
Columbia Gorge Community College,The Dalles,OR,0,0,http://www.cgcc.cc.or.us,3.57,1442,32
Columbia International University,Columbia,SC,0,0,http://www.ciu.edu,3.14,1144,26
Columbia State Community College,Columbia,TN,0,0,http://www.columbiastate.edu,3.18,1190,27
Columbia Theological Seminary,Decatur,GA,0,0,http://www.ctsnet.edu,3.34,1401,31
Columbia University in the City of New York,New York,NY,0,0,http://www.columbia.edu,3.97,1480,33
Columbia-Greene Community College,Hudson,NY,0,0,http://www.sunycgcc.edu,3.38,1236,28
Columbus College of Art and Design,Columbus,OH,0,0,http://www.ccad.edu,3.14,1382,31
Columbus State Community College,Columbus,OH,0,0,http://www.cscc.edu,3.68,1239,28
Columbus State University,Columbus,GA,0,0,http://www.colstate.edu,3.58,1439,32
Columbus Technical College,Columbus,GA,0,0,http://www.columbustech.edu,3.16,1385,31
Commonwealth Institute of Funeral Service,Houston,TX,0,0,http://www.commonwealth.edu,3.16,1213,27
Commonwealth Technical Institute,Johnstown,PA,0,0,http://www.hgac.org,3.46,1302,29
Community and Technical College at West Virginia University Institute of Technology,Montgomery,WV,0,0,http://www.wvutech.edu,3.39,1338,30
Community Care College,Tulsa,OK,0,0,http://www.clarysagecollege.com,3.1,1214,27
Community Christian College,Redlands,CA,0,0,http://www.cccollege.net,3.24,1136,25
Community College of Allegheny County,Pittsburgh,PA,0,0,http://www.ccac.edu,3.36,1255,28
Community College of Aurora,Aurora,CO,0,0,http://www.ccaurora.edu,3.15,1377,31
Community College of Beaver County,Monaca,PA,0,0,http://www.ccbc.edu,3.53,1117,25
Community College of Denver,Denver,CO,0,0,http://www.ccd.edu,3.2,1446,32
Community College of Philadelphia,Philadelphia,PA,0,0,http://www.ccp.edu,3.28,1173,26
Community College of Rhode Island,Warwick,RI,0,0,http://www.ccri.edu,3.65,1341,30
Community College of the Air Force,Montgomery,AL,0,0,http://www.maxwell.af.mil/au/ccaf/,3.61,1308,29
Community College of Vermont,Waterbury,VT,0,0,http://www.ccv.vsc.edu,3.61,1412,32
Computer Career Center,El Paso,TX,0,0,http://www.computercareercenter.edu,3.08,1330,30
Computer Systems Institute,Skokie,IL,0,0,http://www.csinow.com,3.28,1363,30
Conception Seminary College,Conception,MO,0,25657,http://www.conception.edu,3.64,1108,25
Concord University,Athens,WV,0,0,http://www.concord.edu,3.67,1350,30
Concorde Career College,North Hollywood,CA,0,0,http://www.concorde.edu,3.06,1138,25
Concorde Career College,Garden Grove,CA,0,0,http://www.concorde.edu,3.37,1246,28
Concorde Career College,San Bernardino,CA,0,0,http://www.concorde.edu,3.33,1189,27
Concorde Career College,Memphis,TN,0,0,http://www.concorde.edu,3.55,1225,27
Concorde Career Colleges,San Diego,CA,0,0,http://www.concorde.edu,3.19,1337,30
Concorde Career Colleges,Kansas City,MO,0,0,http://www.concorde.edu,3.51,1296,29
Concorde Career Colleges,Aurora,CO,0,0,http://www.concorde.edu,3.35,1257,28
Concorde Career Institute,Jacksonville,FL,0,0,http://www.concorde.edu,3.58,1243,28
Concordia College Alabama,Selma,AL,0,10715,http://www.ccal.edu,3.47,1123,25
Concordia College at Moorhead,Moorhead,MN,1,19948,http://www.cord.edu,3.38,1127,25
Concordia College-New York,Bronxville,NY,1,20357,http://www.concordia-ny.edu,3.27,1438,32
Concordia Seminary,Saint Louis,MO,0,0,http://www.csl.edu,3.17,1256,28
Concordia Theological Seminary,Fort Wayne,IN,1,0,http://www.ctsfw.edu,3.25,1290,29
Concordia University-Ann Arbor,Ann Arbor,MI,1,15435,http://www.cuaa.edu,3.64,1239,28
Concordia University-Chicago,River Forest,IL,1,16807,http://www.cuchicago.edu,3.59,1254,28
Concordia University-Irvine,Irvine,CA,1,23817,http://www.cui.edu,3.6,1236,28
Concordia University-Portland,Portland,OR,1,20520,http://www.cu-portland.edu,3.7,1338,30
Concordia University-Saint Paul,Saint Paul,MN,1,19943,http://www.csp.edu,3.03,1263,28
Concordia University-Seward,Seward,NE,1,17236,http://www.cune.edu,3.25,1269,28
Concordia University-Texas,Austin,TX,1,18788,http://www.concordia.edu,3.3,1313,29
Concordia University-Wisconsin,Mequon,WI,1,19737,http://www.cuw.edu,3.05,1182,26
Connecticut College,New London,CT,0,0,http://www.connecticutcollege.edu,3.53,1207,27
Connors State College,Warner,OK,0,0,http://www.connorsstate.edu,3.6,1436,32
Consolidated School of Business,Lancaster,PA,0,0,http://www.csb.edu,3.06,1143,25
Consolidated School of Business,York,PA,0,0,http://www.csb.edu,3,1262,28
Contra Costa College,San Pablo,CA,0,0,http://www.contracosta.edu,3.07,1334,30
Contra Costa Community College District Office,Martinez,CA,0,0,http://www.4cd.net/,3.45,1197,27
Converse College,Spartanburg,SC,0,0,http://www.converse.edu,3.34,1201,27
Conway School of Landscape Design,Conway,MA,0,0,http://www.csld.edu,3.38,1216,27
Cooper Union for the Advancement of Science and Art,New York,NY,0,0,http://www.cooper.edu,3.16,1218,27
Coosa Valley Technical College,Rome,GA,0,0,http://www.coosavalleytech.edu,3.3,1396,31
Copiah-Lincoln Community College,Wesson,MS,0,0,http://www.colin.edu,3.18,1258,28
Copiah-Lincoln Community College Simpson County Center,Mendenhall,MS,0,0,http://www.colin.edu,3.29,1288,29
Copiah-Lincoln Community College-Natchez Campus,Natchez,MS,0,0,http://www.colin.edu,3.59,1254,28
Copper Mountain Community College,Joshua Tree,CA,0,0,http://www.cmccd.edu,3.04,1403,31
Coppin State University,Baltimore,MD,0,0,http://www.coppin.edu,3.53,1348,30
Corban University,Salem,OR,1,21964,http://www.corban.edu,3.55,1319,29
Corcoran College of Art and Design,Washington,DC,0,0,http://www.corcoran.edu,3.62,1277,29
Cornell College,Mount Vernon,IA,0,20702,http://www.cornellcollege.edu,3.42,1177,26
Cornell University,Ithaca,NY,0,0,http://www.cornell.edu,3.2,1420,c
Cornerstone University,Grand Rapids,MI,1,16304,http://www.cornerstone.edu,3.03,1242,28
Corning Community College,Corning,NY,0,0,http://www.corning-cc.edu/,3.48,1246,28
Cornish College of the Arts,Seattle,WA,0,0,http://www.cornish.edu,3.12,1155,26
Cossatot Community College of the University of Arkansas,De Queen,AR,0,0,http://cccua.edu,3.05,1283,29
Cosumnes River College,Sacramento,CA,0,0,http://www.crc.losrios.edu/,3.36,1173,26
Cottey College,Nevada,MO,0,0,http://www.cottey.edu,3.32,1282,29
County College of Morris,Randolph,NJ,0,0,http://www.ccm.edu,3.5,1107,25
Court Reporting Institute-Wheeler Institute of Texas,Dallas,TX,0,0,http://www.crid.com,3.44,1168,26
Covenant College,Lookout Mountain,GA,0,21112,http://www.covenant.edu,3.46,1390,31
Covenant School of Nursing and Allied Health,Lubbock,TX,0,0,http://cson.covenanthealth.org,3.43,1271,28
Covenant Theological Seminary,Saint Louis,MO,1,0,http://www.covenantseminary.edu,3.19,1144,26
Cowley County Community College,Arkansas City,KS,0,0,http://www.cowley.edu,3.25,1342,30
Cox College,Springfield,MO,0,0,http://www.coxcollege.edu,3.19,1358,30
Crafton Hills College,Yucaipa,CA,0,0,http://www.craftonhills.edu,3.3,1301,29
Cranbrook Academy of Art,Bloomfield Hills,MI,0,0,http://www.cranbrook.edu,3.55,1300,29
Craven Community College,New Bern,NC,0,0,http://www.craven.cc.nc.us,3.04,1351,30
Creighton University,Omaha,NE,1,24970,http://www.creighton.edu,3.54,1269,28
Crimson Technical College,Inglewood,CA,0,0,http://www.redstone.edu,3.18,1283,29
Crossroads Bible College,Indianapolis,IN,1,14090,http://www.crossroads.edu,3.57,1314,29
Crossroads College,Rochester,MN,1,17172,http://www.crossroadscollege.edu,3.07,1219,27
Crouse Hospital School of Nursing,Syracuse,NY,0,0,http://www.crouse.org/nursing,3.4,1122,25
Crowder College,Neosho,MO,0,0,http://www.crowder.edu,3.26,1232,28
Crowley's Ridge College,Paragould,AR,1,9207,http://www.crc.edu/,3.25,1263,28
Crown College,Saint Bonifacius,MN,1,20797,http://www.crown.edu,3.24,1355,30
Cuesta College,San Luis Obispo,CA,0,0,http://www.cuesta.edu,3.49,1222,27
Culinary Institute Alain and Marie Lenotre,Houston,TX,0,0,http://www.ciaml.com,3.11,1442,32
Culinary Institute of America,Hyde Park,NY,0,0,http://www.ciachef.edu,3.53,1133,25
Culver-Stockton College,Canton,MO,1,16378,http://www.culver.edu,3.32,1372,31
Cumberland County College,Vineland,NJ,0,0,http://www.cccnj.edu,3.2,1320,30
Cumberland University,Lebanon,TN,0,0,http://www.cumberland.edu,3.51,1223,27
CUNY Bernard M Baruch College,New York,NY,0,0,http://www.baruch.cuny.edu,3.58,1211,27
CUNY Borough of Manhattan Community College,New York,NY,0,0,http://www.bmcc.cuny.edu/,3.51,1318,29
CUNY Bronx Community College,Bronx,NY,0,0,http://www.bcc.cuny.edu,3.67,1229,27
CUNY Brooklyn College,Brooklyn,NY,0,0,http://www.brooklyn.cuny.edu,3.31,1194,27
CUNY City College,New York,NY,0,0,http://www.ccny.cuny.edu,3.54,1258,28
CUNY College of Staten Island,Staten Island,NY,0,0,http://www.csi.cuny.edu,3,1384,31
CUNY Graduate School and University Center,New York,NY,0,0,http://www.gc.cuny.edu,3.55,1336,30
CUNY Hostos Community College,Bronx,NY,0,0,http://www.hostos.cuny.edu,3.24,1126,25
CUNY Hunter College,New York,NY,0,0,http://www.hunter.cuny.edu,3.6,1446,32
CUNY John Jay College Criminal Justice,New York,NY,0,0,http://www.jjay.cuny.edu,3.31,1239,28
CUNY Kingsborough Community College,Brooklyn,NY,0,0,http://www.kingsborough.edu/,3.49,1244,28
CUNY LaGuardia Community College,Long Island City,NY,0,0,http://www.lagcc.cuny.edu,3.6,1218,27
CUNY Lehman College,Bronx,NY,0,0,http://www.lehman.edu,3.11,1152,26
CUNY Medgar Evers College,Brooklyn,NY,0,0,http://www.mec.cuny.edu,3.21,1136,25
CUNY New York City College of Technology,Brooklyn,NY,0,0,http://www.citytech.cuny.edu,3.21,1114,25
CUNY Queens College,Flushing,NY,0,0,http://www.qc.edu,3.49,1229,27
CUNY Queensborough Community College,Bayside,NY,0,0,http://www.qcc.cuny.edu,3.44,1353,30
CUNY School of Law at Queens College,Flushing,NY,0,0,http://www.law.cuny.edu,3.35,1216,27
CUNY System Office,New York,NY,0,0,http://www.cuny.edu,3.58,1446,32
CUNY York College,Jamaica,NY,0,0,http://www.york.cuny.edu,3.56,1361,30
Curry College,Milton,MA,0,0,http://www.curry.edu,3.14,1220,27
Cuyahoga Community College District,Cleveland,OH,0,0,http://www.tri-c.edu,3.58,1388,31
Cuyamaca College,El Cajon,CA,0,0,http://www.cuyamaca.edu,3.44,1120,25
Cypress College,Cypress,CA,0,0,http://www.cypresscollege.edu,3.63,1134,25
D'Youville College,Buffalo,NY,0,0,http://www.dyc.edu,3.6,1232,28
Dabney S Lancaster Community College,Clifton Forge,VA,0,0,http://www.dslcc.edu,3.36,1386,31
Daemen College,Amherst,NY,0,0,http://www.daemen.edu,3.69,1332,30
Dakota County Technical College,Rosemount,MN,0,0,http://www.dctc.mnscu.edu,3.68,1172,26
Dakota State University,Madison,SD,0,0,http://www.dsu.edu,3.15,1360,30
Dakota Wesleyan University,Mitchell,SD,1,16791,http://www.dwu.edu,3.08,1254,28
Dallas Baptist University,Dallas,TX,1,17879,http://www.dbu.edu,3.08,1212,27
Dallas Christian College,Dallas,TX,1,10036,http://www.dallas.edu,3.41,1285,29
Dallas County Community College District,Dallas,TX,0,0,http://www.dcccd.edu,3.4,1446,32
Dallas Institute of Funeral Service,Dallas,TX,0,0,http://www.dallasinstitute.edu,3.24,1201,27
Dallas Theological Seminary,Dallas,TX,1,0,http://www.dts.edu,3.33,1324,30
Dalton State College,Dalton,GA,0,0,http://www.daltonstate.edu,3.3,1297,29
Daniel Webster College,Nashua,NH,0,0,http://www.dwc.edu,3.27,1314,29
Danville Area Community College,Danville,IL,0,0,http://www.dacc.edu,3.69,1168,26
Danville Community College,Danville,VA,0,0,http://www.dcc.vccs.edu,3.42,1398,31
Darkei Noam Rabbinical College,Brooklyn,NY,0,0,,3.46,1264,28
Dartmouth College,Hanover,NH,0,0,http://www.dartmouth.edu,3.5,1455,33
Darton College,Albany,GA,0,0,http://www.darton.edu,3.47,1262,28
Davenport University,Grand Rapids,MI,0,0,http://www.davenport.edu,3,1221,27
Davidson College,Davidson,NC,0,23623,http://www.davidson.edu/,3.41,1318,29
Davidson County Community College,Thomasville,NC,0,0,http://www.davidsonccc.edu,3.15,1375,31
Davis & Elkins College,Elkins,WV,0,15898,http://www.dewv.edu,3.02,1134,25
Davis Applied Technology College,Kaysville,UT,0,0,http://www.datc.net,3.41,1273,28
Davis College,Johnson City,NY,1,14245,http://www.davisny.edu/,3.12,1434,32
Davis College,Toledo,OH,0,0,http://www.daviscollege.edu,3.34,1176,26
Dawson Community College,Glendive,MT,0,0,http://dawson.edu,3.7,1304,29
Daymar College,Chillicothe,OH,0,0,http://samuelstephencollege.edu,3.4,1308,29
Daymar College,New Boston,OH,0,0,http://www.southeasternbusinesscollege.com,3.11,1350,30
Daymar College,Jackson,OH,0,0,http://www.southeasternbusinesscollege.com,3.24,1157,26
Daymar College,Lancaster,OH,0,0,http://www.southeasternbusinesscollege.com,3.21,1228,27
Daymar College-Louisville,Louisville,KY,0,0,http://www.daymarcollege.edu,3.08,1118,25
Daymar College-Newport,Newport,KY,0,0,http://www.daymarcollege.edu/,3,1404,31
Daymar College-Owensboro Campus,Owensboro,KY,0,0,http://www.daymarcollege.edu,3.2,1231,27
Daymar College-Paducah,Paducah,KY,0,0,http://www.daymarcollege.edu,3.43,1396,31
Daymar College-Paducah Main,Paducah,KY,0,0,http://www.paducahtech.edu,3.66,1275,28
Daytona College,Ormond Beach,FL,0,0,,3.16,1139,25
Daytona State College,Daytona Beach,FL,0,0,http://www.dbcc.edu,3.6,1319,29
De Anza College,Cupertino,CA,0,0,http://www.deanza.edu/,3.23,1184,26
Dean College,Franklin,MA,0,0,http://www.dean.edu,3.61,1405,31
Dean Institute of Technology,Pittsburgh,PA,0,0,http://www.deantech.edu,3.04,1421,32
Defiance College,Defiance,OH,1,20654,http://www.defiance.edu,3.37,1132,25
Dekalb Technical College,Clarkston,GA,0,0,http://www.dekalbtech.edu,3.3,1261,28
Del Mar College,Corpus Christi,TX,0,0,http://www.delmar.edu,3.53,1148,26
Delaware College of Art and Design,Wilmington,DE,0,0,http://www.dcad.edu,3.62,1323,30
Delaware County Community College,Media,PA,0,0,http://www.dccc.edu,3.19,1243,28
Delaware State University,Dover,DE,0,0,http://www.desu.edu,3.65,1359,30
Delaware Technical and Community College-Central Office,Dover,DE,0,0,http://www.dtcc.edu,3.28,1448,32
Delaware Technical and Community College-Owens,Georgetown,DE,0,0,http://www.dtcc.edu/owens/,3.06,1327,30
Delaware Technical and Community College-Stanton-Wilmington,Newark,DE,0,0,http://www.dtcc.edu,3.57,1444,32
Delaware Technical and Community College-Terry,Dover,DE,0,0,http://www.dtcc.edu/terry/,3.55,1231,27
Delaware Valley College,Doylestown,PA,0,0,http://www.delval.edu,3.7,1271,28
Delgado Community College,New Orleans,LA,0,0,http://www.dcc.edu,3.01,1139,25
Dell'Arte International School of Physical Theatre,Blue Lake,CA,0,0,http://www.dellarte.com,3.18,1407,31
Delta College,University Center,MI,0,0,http://www.delta.edu,3.63,1211,27
Delta College of Arts & Technology,Baton Rouge,LA,0,0,http://www.deltacollege.com,3.66,1322,30
Delta School of Business and Technology,Lake Charles,LA,0,0,http://www.deltatech.edu,3.33,1335,30
Delta State University,Cleveland,MS,0,0,http://www.deltastate.edu,3.08,1130,25
Denison University,Granville,OH,0,0,http://www.denison.edu,3.42,1148,26
Denmark Technical College,Denmark,SC,0,0,http://www.denmarktech.edu,3.23,1192,27
Denver Academy of Court Reporting,Westminster,CO,0,0,http://dacr.org,3.38,1113,25
Denver Seminary,Littleton,CO,1,0,http://www.denverseminary.edu,3.16,1235,28
DePaul University,Chicago,IL,1,24205,http://www.depaul.edu,3.11,1269,28
DePauw University,Greencastle,IN,0,24033,http://www.depauw.edu,3.45,1181,26
Des Moines Area Community College,Ankeny,IA,0,0,http://www.dmacc.edu,3.37,1414,32
Des Moines University-Osteopathic Medical Center,Des Moines,IA,0,0,http://www.dmu.edu,3.06,1276,29
DeSales University,Center Valley,PA,1,26494,http://www.desales.edu,3.48,1248,28
Design Institute of San Diego,San Diego,CA,0,0,http://www.disd.edu,3.42,1176,26
DeVry College of New York,Long Island City,NY,0,0,http://www.devry.edu,3.49,1384,31
DeVry University-Arizona,Phoenix,AZ,0,0,http://www.devry.edu,3.43,1233,28
DeVry University-California,Pomona,CA,0,0,http://www.devry.edu,3.68,1361,30
DeVry University-Colorado,Westminster,CO,0,0,http://www.devry.edu,3.44,1148,26
DeVry University-Corporate Office,Oakbrook Terrace,IL,0,0,http://www.devry.edu,3.06,1196,27
DeVry University-Florida,Orlando,FL,0,0,http://www.devry.edu,3.4,1266,28
DeVry University-Georgia,Decatur,GA,0,0,http://www.devry.edu,3.46,1372,31
DeVry University-Illinois,Addison,IL,0,0,http://www.devry.edu,3.51,1259,28
DeVry University-Indiana,Merrillville,IN,0,0,http://www.devry.edu,3.29,1330,30
DeVry University-Maryland,Bethesda,MD,0,0,http://www.devry.edu,3.47,1215,27
Devry University-Michigan,Southfield,MI,0,0,http://,3.24,1124,25
DeVry University-Minnesota,Edina,MN,0,0,http://www.devry.edu,3.03,1416,32
DeVry University-Missouri,Kansas City,MO,0,0,http://www.devry.edu,3.36,1356,30
DeVry University-Nevada,Henderson,NV,0,0,http://www.devry.edu,3.53,1259,28
DeVry University-New Jersey,North Brunswick,NJ,0,0,http://www.devry.edu,3.11,1208,27
DeVry University-North Carolina,Charlotte,NC,0,0,http://www.devry.edu,3.22,1440,32
DeVry University-Ohio,Columbus,OH,0,0,http://www.devry.edu,3.04,1159,26
DeVry University-Oklahoma,Oklahoma City,OK,0,0,http://www.devry.edu,3.5,1312,29
DeVry University-Oregon,Portland,OR,0,0,http://www.devry.edu,3.64,1368,31
DeVry University-Pennsylvania,Fort Washington,PA,0,0,http://www.devry.edu,3.62,1261,28
DeVry University-Tennessee,Memphis,TN,0,0,http://,3.29,1113,25
DeVry University-Texas,Irving,TX,0,0,http://www.devry.edu,3,1410,32
DeVry University-Utah,Sandy,UT,0,0,http://www.devry.edu,3.19,1247,28
DeVry University-Virginia,Arlington,VA,0,0,http://www.devry.edu,3.12,1153,26
DeVry University-Washington,Federal Way,WA,0,0,http://www.devry.edu,3.57,1174,26
DeVry University-Wisconsin,Waukesha,WI,0,0,http://www.devry.edu,3.24,1383,31
Diablo Valley College,Pleasant Hill,CA,0,0,http://www.dvc.edu,3.49,1155,26
Dickinson College,Carlisle,PA,0,0,http://www.dickinson.edu,3.28,1224,27
Dickinson State University,Dickinson,ND,0,0,http://www.dickinsonstate.com,3.43,1336,30
DigiPen Institute of Technology,Redmond,WA,0,0,http://www.digipen.edu,3.6,1250,28
Dillard University,New Orleans,LA,0,12355,http://www.dillard.edu,3,1345,30
Dine College,Tsaile,AZ,0,0,http://www.dinecollege.edu,3.24,1256,28
Divine Word College,Epworth,IA,0,4762,http://www.dwci.edu,3.26,1107,25
Dixie State College of Utah,Saint George,UT,0,0,http://new.dixie.edu/,3.13,1163,26
Dodge City Community College,Dodge City,KS,0,0,http://www.dc3.edu,3.37,1383,31
Dominican College of Blauvelt,Orangeburg,NY,0,0,http://www.dc.edu,3.37,1226,27
Dominican School of Philosophy & Theology,Berkeley,CA,0,0,http://www.dspt.edu,3.14,1243,28
Dominican University,River Forest,IL,1,15709,http://www.dom.edu/,3.6,1213,27
Dongguk Royal University,Los Angeles,CA,0,0,http://www.dru.edu,3.46,1357,30
Donnelly College,Kansas City,KS,1,11492,http://donnelly.edu,3.13,1114,25
Dordt College,Sioux Center,IA,1,21420,http://www.dordt.edu,3.12,1359,30
Dorothea Hopfer School of Nursing-Mt Vernon Hospital,Mount Vernon,NY,0,0,http://hopfer.org,3.66,1447,32
Douglas Education Center,Monessen,PA,0,0,http://www.douglas-school.com,3.07,1284,29
Dowling College,Oakdale,NY,0,0,http://www.dowling.edu,3.2,1260,28
Dragon Rises College of Oriental Medicine,Gainesville,FL,0,0,,3.6,1255,28
Drake University,Des Moines,IA,0,0,http://www.drake.edu,3.29,1345,30
Draughons Junior College,Clarksville,TN,0,0,http://www.draughons.edu,3.21,1158,26
Draughons Junior College,Bowling Green,KY,0,0,http://www.draughons.edu,3.03,1348,30
Draughons Junior College Inc,Nashville,TN,0,0,http://www.draughons.edu,3,1127,25
Draughons Junior College-Murfreesboro,Murfreesboro,TN,0,0,http://www.draughons.edu,3.58,1398,31
Drew University,Madison,NJ,0,28361,http://www.drew.edu,3.12,1379,31
Drexel University,Philadelphia,PA,0,0,http://www.drexel.edu,3.21,1292,29
Drury University,Springfield,MO,0,0,http://www.drury.edu,3.28,1146,26
Du Bois Business College,Huntingdon,PA,0,0,http://www.dbcollege.com,3.43,1187,26
Du Bois Business College,Oil City,PA,0,0,http://www.dbcollege.com,3.37,1118,25
Du Bois Business College,Du Bois,PA,0,0,http://www.dbcollege.com,3.13,1350,30
Duke University,Durham,NC,1,22879,http://www.duke.edu,3.48,1460,33
Duluth Business University,Dultuh,MN,0,0,http://www.dbumn.edu,3.01,1392,31
Dunwoody College of Technology,Minneapolis,MN,0,0,http://www.dunwoody.edu,3.64,1305,29
Duquesne University,Pittsburgh,PA,1,24148,http://www.duq.edu,3.65,1113,25
Durham Technical Community College,Durham,NC,0,0,http://www.durhamtech.edu,3.48,1416,32
Dutchess Community College,Poughkeepsie,NY,0,0,http://www.sunydutchess.edu,3.4,1223,27
Dyersburg State Community College,Dyersburg,TN,0,0,http://www.dscc.edu,3.22,1303,29
Eagle Gate College,Salt Lake City,UT,0,0,http://eaglegatecollege.edu,3.01,1421,32
Eagle Gate College,Layton,UT,0,0,http://www.eaglegatecollege.edu,3.19,1216,27
Eagle Gate College,Murray,UT,0,0,http://eaglegatecollege.edu,3.2,1163,26
Earlham College,Richmond,IN,0,19665,http://www.earlham.edu,3.42,1134,25
East Arkansas Community College,Forrest City,AR,0,0,http://www.eacc.edu,3.3,1429,32
East Carolina University,Greenville,NC,0,0,http://www.ecu.edu,3.07,1105,25
East Central College,Union,MO,0,0,http://www.eastcentral.edu,3.17,1305,29
East Central Community College,Decatur,MS,0,0,http://www.eccc.edu,3.57,1178,26
East Central Technical College,Fitzgerald,GA,0,0,http://www.eastcentraltech.edu,3.03,1161,26
East Central University,Ada,OK,0,0,http://www.ecok.edu,3.06,1112,25
East Georgia College,Swainsboro,GA,0,0,http://www.ega.edu,3.67,1331,30
East Los Angeles College,Monterey Park,CA,0,0,http://www.elac.edu,3.41,1221,27
East Mississippi Community College,Scooba,MS,0,0,http://www.eastms.edu/,3.44,1154,26
East San Gabriel Valley Regional Occupational Program,West Covina,CA,0,0,http://www.esgvrop.org,3.09,1117,25
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,0,0,http://www.esu.edu,3.26,1345,30
East Tennessee State University,Johnson City,TN,0,0,http://www.etsu.edu,3.04,1255,28
East Texas Baptist University,Marshall,TX,1,15689,http://www.etbu.edu,3.7,1157,26
East West College of Natural Medicine,Sarasota,FL,0,0,http://ewcollege.org,3.25,1398,31
East-West University,Chicago,IL,0,0,http://www.eastwest.edu,3.1,1217,27
Eastern Arizona College,Thatcher,AZ,0,0,http://www.eac.edu,3.34,1445,32
Eastern Connecticut State University,Willimantic,CT,0,0,http://www.easternct.edu/,3.23,1364,31
Eastern Idaho Technical College,Idaho Falls,ID,0,0,http://www.eitc.edu,3.06,1293,29
Eastern Illinois University,Charleston,IL,0,0,http://www.eiu.edu,3.61,1352,30
Eastern Iowa Community College District,Davenport,IA,0,0,http://www.eicc.edu,3.24,1173,26
Eastern Kentucky University,Richmond,KY,0,0,http://www.eku.edu,3.53,1111,25
Eastern Maine Community College,Bangor,ME,0,0,http://www.emcc.edu,3.13,1381,31
Eastern Mennonite University,Harrisonburg,VA,1,20492,http://www.emu.edu,3.63,1262,28
Eastern Michigan University,Ypsilanti,MI,0,0,http://www.emich.edu,3.41,1343,30
Eastern Nazarene College,Quincy,MA,0,20700,http://www.enc.edu,3.66,1233,28
Eastern New Mexico University-Main Campus,Portales,NM,0,0,http://www.enmu.edu,3.51,1138,25
